ticket_id,client_id,created_at,channel,product_module,plan,priority,status,resolution_time_hours,reopened,escalated,comment_text,true_root_cause
TCK-0019168,CLT-001586,2024-01-01T00:11:37,chat,billing_core,enterprise,high,resolved,22.89,False,False,Je ne trouve pas la facure du mois dernier dans l'outil.,MISSING_INVOICE
TCK-0005614,CLT-000330,2024-01-01T00:21:17,chat,billing_core,pro,medium,resolved,18.86,False,False,La promotion/remise ne s'applique pas comme avant.,DISCOUNT_RULES_ISSUE
TCK-0018628,CLT-000558,2024-01-01T00:33:17,email,subscriptions,starter,medium,resolved,29.31,False,False,"On a sûrement raté un réglage à l'installation, ça ne marche pas.",ONBOARDING_SETUP_ERROR
TCK-0000896,CLT-001957,2024-01-01T01:07:24,email,billing_core,starter,medium,resolved,24.9,False,True,La promotion/remise ne s'applique pas comme avant.,DISCOUNT_RULES_ISSUE
TCK-0008011,CLT-001421,2024-01-01T01:24:14,email,billing_core,starter,low,resolved,6.75,False,False,"On a des erreurs 500, l'outil ne répond plus.",INFRA_INCIDENT
TCK-0009987,CLT-000807,2024-01-01T01:50:22,chat,subscriptions,enterprise,high,resolved,33.22,False,False,"Je ne peux pas ajouter un utilisateur supplémentaire, pourquoi ?.",PLAN_LIMIT_CONFUSION
TCK-0016736,CLT-000852,2024-01-01T01:52:46,email,billing_core,starter,medium,resolved,23.51,True,False,"Le service est indisponible, on a des erreurs partout.",INFRA_INCIDENT
TCK-0019683,CLT-002303,2024-01-01T02:41:36,email,billing_core,pro,medium,open,16.47,False,True,C'est lent et ça timeout parfois.,APP_SLOWNESS
TCK-0017213,CLT-000605,2024-01-01T02:49:39,chat,auth_access,pro,medium,resolved,21.21,False,False,Je ne reçois pas l'email de réinitialisation.,PASSWORD_RESET_ISSUE
TCK-0007088,CLT-001897,2024-01-01T03:09:25,chat,subscriptions,pro,high,resolved,15.58,False,False,"Une option est grisée, on dirait une limitation.",PLAN_LIMIT_CONFUSION
TCK-0000983,CLT-000495,2024-01-01T03:52:48,email,billing_core,starter,low,open,3.7,False,False,Le total facturé est incorrect par rapport à notre contrat.,BILLING_AMOUNT_INCORRECT
TCK-0002779,CLT-000100,2024-01-01T04:00:11,web,subscriptions,starter,medium,resolved,17.45,False,False,La configuration d'abonnement ne s'applique pas correctement.,SUBSCRIPTION_CONFIG_ERROR
TCK-0005974,CLT-001042,2024-01-01T04:31:05,web,billing_core,starter,low,resolved,2.04,False,False,Aucune facture n'a été générée pour la drnière période.,MISSING_INVOICE
TCK-0018704,CLT-000647,2024-01-01T05:02:26,email,billing_core,pro,high,resolved,75.55,False,False,"Impossible d'aaccéder à l'application, c'est en panne ?",INFRA_INCIDENT
TCK-0013126,CLT-002005,2024-01-01T05:23:52,email,billing_core,starter,medium,resolved,5.23,False,False,"La même facture apparaît deux fois, merci de corriger.",DUPLICATE_INVOICE
TCK-0004104,CLT-001542,2024-01-01T05:48:44,web,billing_core,starter,low,resolved,9.35,False,False,La promotion/remise ne s'applique pas comme avant.,DISCOUNT_RULES_ISSUE
TCK-0002281,CLT-000255,2024-01-01T06:16:22,web,billing_core,starter,low,open,2.53,False,False,Les remises disparaissent sur certaines lignes de facture.,DISCOUNT_RULES_ISSUE
